Company,Title,Rating,Work/Life Balance,Benefit,Security,Culture
AMERICAN-CANCER-SOCIETY,Community Manager for Relay For Life,1.00,3.25,4.00,3.75,3.00
AMERICAN-CANCER-SOCIETY,Community Manager-Relay For Life,4.00,3.33,4.00,3.33,4.00
AMERICAN-CANCER-SOCIETY,Community Program Rep/Quality of Life Director,5.00,3.00,3.00,4.00,2.67
AMERICAN-CANCER-SOCIETY,Community Relations Representative,3.00,3.50,3.50,4.50,2.00
AMERICAN-CANCER-SOCIETY,Community Relationship Manager,3.50,4.00,3.00,3.38,4.00
AMERICAN-CANCER-SOCIETY,Community Representative,2.83,3.30,3.33,3.93,3.33
AMERICAN-CANCER-SOCIETY,Community Representative / Income Development,3.00,3.50,3.50,3.00,3.00
AMERICAN-CANCER-SOCIETY,Community Representative Income Development,5.00,4.00,4.50,3.50,3.00
AMERICAN-CANCER-SOCIETY,Community Representative of Distinguished Events,2.00,3.33,4.67,1.67,3.67
AMERICAN-CANCER-SOCIETY,Community Specialist/Cancer Control,4.00,1.00,3.00,3.00,5.00
AMERICAN-CANCER-SOCIETY,Community and Volunteer Involvement,5.00,3.50,5.00,4.50,4.00
AMERICAN-CANCER-SOCIETY,Concession work and assist,5.00,3.00,4.00,2.00,3.00
AMERICAN-CANCER-SOCIETY,Constituent Relations Specialists,1.00,3.00,5.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,Constituent Representative,2.00,3.00,5.00,3.00,2.00
AMERICAN-CANCER-SOCIETY,Contact Center Recruiter,5.00,3.00,4.00,3.50,4.75
AMERICAN-CANCER-SOCIETY,Contract Talent Attraction Recruiter,5.00,4.00,4.50,4.50,4.50
AMERICAN-CANCER-SOCIETY,Coordinator,5.00,3.50,4.25,3.50,4.25
AMERICAN-CANCER-SOCIETY,Coordinator Division Account Management Support,4.00,3.00,3.00,4.00,2.00
AMERICAN-CANCER-SOCIETY,Coordinator Division Event Support,4.00,4.00,3.50,4.50,3.50
AMERICAN-CANCER-SOCIETY,Corporate & Major Gifts Administrator,4.00,3.50,5.00,3.50,3.50
AMERICAN-CANCER-SOCIETY,Corporate Development Director,4.00,1.00,5.00,2.00,3.00
AMERICAN-CANCER-SOCIETY,Customer Care Representative,5.00,2.33,4.67,3.00,3.67
AMERICAN-CANCER-SOCIETY,Customer Service Representative Recruiter,5.00,4.00,4.00,1.00,2.00
AMERICAN-CANCER-SOCIETY,DATA CAPTURE ASSOCIATE,3.00,5.00,2.00,3.50,4.00
AMERICAN-CANCER-SOCIETY,Data Capture Associate,5.00,3.60,3.20,4.80,3.20
AMERICAN-CANCER-SOCIETY,Data Entry,5.00,3.50,4.00,3.50,2.00
AMERICAN-CANCER-SOCIETY,Data Entry Clerk,4.00,3.71,4.57,3.14,4.00
AMERICAN-CANCER-SOCIETY,Data Entry Coordinator,5.00,2.33,2.33,5.00,3.00
AMERICAN-CANCER-SOCIETY,Data Entry Specialist,5.00,2.67,4.00,2.33,4.33
AMERICAN-CANCER-SOCIETY,Data Entry/ Computer Specialist,2.00,4.00,3.67,4.00,3.67
AMERICAN-CANCER-SOCIETY,Data Processor,5.00,2.33,3.33,2.33,3.67
AMERICAN-CANCER-SOCIETY,Data Services Clerk,4.00,4.50,1.50,3.50,3.00
AMERICAN-CANCER-SOCIETY,Data Specialist,5.00,4.50,3.50,3.50,4.50
AMERICAN-CANCER-SOCIETY,Data Support Coordinator,4.00,4.00,5.00,3.00,5.00
AMERICAN-CANCER-SOCIETY,Data entry,5.00,4.00,4.50,5.00,5.00
AMERICAN-CANCER-SOCIETY,Data entry research etc,5.00,3.00,3.67,3.67,4.33
AMERICAN-CANCER-SOCIETY,Datacenter Engineer,4.00,4.00,1.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,DetermiNation Marketing Volunteer,5.00,4.00,4.50,5.00,4.00
AMERICAN-CANCER-SOCIETY,Developer/Consultant,5.00,4.33,3.00,3.67,4.67
AMERICAN-CANCER-SOCIETY,Development Director,5.00,4.00,1.50,3.00,2.50
AMERICAN-CANCER-SOCIETY,Development Manager,3.00,3.00,5.00,2.00,5.00
AMERICAN-CANCER-SOCIETY,Development Representative,2.00,4.00,3.33,2.67,3.67
AMERICAN-CANCER-SOCIETY,Digital Media Intern,4.00,5.00,4.00,3.50,4.00
AMERICAN-CANCER-SOCIETY,Dir. Initiatives & Corp. Dev,5.00,4.00,5.00,4.00,4.50
AMERICAN-CANCER-SOCIETY,Director,3.00,4.00,4.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,Director Corporate Relations,4.00,4.00,5.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Director Patient & Family Services,4.00,4.50,4.50,2.50,3.50
AMERICAN-CANCER-SOCIETY,Director Special Events,3.50,3.33,3.83,2.67,4.17
AMERICAN-CANCER-SOCIETY,Director Special Events Mohawk Valley Unit,4.00,3.50,5.00,3.50,1.50
AMERICAN-CANCER-SOCIETY,Director of Community Health,5.00,5.00,4.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,Director of Comprehensive School Health,5.00,4.33,2.00,3.33,3.67
AMERICAN-CANCER-SOCIETY,Director of Government Relations,4.00,3.00,4.00,2.50,2.50
AMERICAN-CANCER-SOCIETY,Director of Information Systems,4.00,4.00,2.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Director of Operations,3.00,3.00,5.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,Director of Planned Giving,1.00,4.00,4.00,3.00,5.00
AMERICAN-CANCER-SOCIETY,Director of Special Events,5.00,3.14,3.14,4.14,2.71
AMERICAN-CANCER-SOCIETY,Distribution Warehouse Manager,3.00,4.00,3.33,4.67,2.33
AMERICAN-CANCER-SOCIETY,District Executive Director,3.00,3.33,3.17,3.50,4.17
AMERICAN-CANCER-SOCIETY,Division Event Support Coordinator,3.50,2.67,4.17,3.33,4.67
AMERICAN-CANCER-SOCIETY,Donation specialist,4.00,3.33,3.33,3.67,4.33
AMERICAN-CANCER-SOCIETY,ENTERPRISE SOLUTION ARCHITECT,4.00,4.00,3.50,3.50,3.50
AMERICAN-CANCER-SOCIETY,Eastern Region Bookkeeper,3.00,4.00,5.00,5.00,2.00
AMERICAN-CANCER-SOCIETY,Employee,2.00,1.75,3.75,3.25,2.75
AMERICAN-CANCER-SOCIETY,Event Coordinator,3.57,3.86,3.57,4.43,4.71
AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,4.00,4.75,3.25,3.50,3.25
AMERICAN-CANCER-SOCIETY,Event Development Coordinator,4.00,2.75,5.00,2.50,2.75
AMERICAN-CANCER-SOCIETY,Event Manager,2.00,3.00,5.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,Event Outreach Coordinator,3.00,3.33,4.67,4.67,4.33
AMERICAN-CANCER-SOCIETY,Event Outreach Coordinator/Specialist,4.00,4.00,4.00,2.00,2.00
AMERICAN-CANCER-SOCIETY,Event Outreach Specialist,3.50,3.50,4.00,3.25,3.25
AMERICAN-CANCER-SOCIETY,Event Planner,5.00,3.00,4.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Event Recruiter/Coach,5.00,4.50,4.00,4.50,4.50
AMERICAN-CANCER-SOCIETY,Event Support,5.00,3.50,4.50,3.50,1.50
AMERICAN-CANCER-SOCIETY,Events Director,2.00,2.00,3.00,3.00,3.00
AMERICAN-CANCER-SOCIETY,Events Manager/Call Center Specialist,5.00,5.00,3.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Executive Administrative Assistant,5.00,5.00,1.00,1.00,4.00
AMERICAN-CANCER-SOCIETY,Executive Administrative assistant,3.00,4.00,3.33,4.67,4.00
AMERICAN-CANCER-SOCIETY,Executive Assistant,3.11,3.33,3.56,3.44,3.00
AMERICAN-CANCER-SOCIETY,Executive Assistant Sr Vice President ,4.00,4.67,3.67,3.67,4.00
AMERICAN-CANCER-SOCIETY,Executive Assistant to Vice President,5.00,5.00,1.00,4.00,5.00
AMERICAN-CANCER-SOCIETY,Executive Director,1.00,2.00,3.33,3.67,4.67
AMERICAN-CANCER-SOCIETY,Executive Director; Senior Relay For Life Manager,4.00,2.33,3.00,4.33,3.00
AMERICAN-CANCER-SOCIETY,Executive Food Chair,5.00,4.00,3.67,4.00,3.33
AMERICAN-CANCER-SOCIETY,Executive Park Bldg,3.00,4.00,2.00,3.00,1.00
AMERICAN-CANCER-SOCIETY,Executive Staff Assistant to Vice Presidents,4.00,5.00,4.00,2.00,3.00
AMERICAN-CANCER-SOCIETY,Execuvite Assistant-Chief Information Officer,4.00,4.33,4.33,4.00,3.67
AMERICAN-CANCER-SOCIETY,Facilities Director Ohio,4.00,4.00,4.50,3.50,3.00
AMERICAN-CANCER-SOCIETY,File Clerk,5.00,4.50,4.50,3.00,3.50
AMERICAN-CANCER-SOCIETY,Finance Administrative,3.00,4.00,3.00,2.67,3.33
AMERICAN-CANCER-SOCIETY,Financial Counselor,3.00,4.33,3.33,3.33,4.00
AMERICAN-CANCER-SOCIETY,Fixed Asset Intern,5.00,4.50,3.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Former Employee,3.00,2.00,2.00,4.33,3.00
AMERICAN-CANCER-SOCIETY,Freelance-Special Events Fundraising,3.00,5.00,5.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Front Desk Manager,5.00,4.00,4.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,Front Desk Receptionist,5.00,2.50,4.50,4.50,4.00
AMERICAN-CANCER-SOCIETY,Front Desk Receptionist Duties,5.00,3.00,3.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,Front Desk/Resource Assistant,4.00,3.00,4.50,3.50,2.50
AMERICAN-CANCER-SOCIETY,Fundraiser,4.00,3.83,4.00,3.33,3.50
AMERICAN-CANCER-SOCIETY,Fundraiser Volunteer,5.00,1.33,2.00,2.67,3.33
AMERICAN-CANCER-SOCIETY,Fundraising,2.00,4.00,3.20,2.20,3.00
AMERICAN-CANCER-SOCIETY,Gala Event Coordinator,5.00,4.00,4.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Grassroots Advocacy Manager,5.00,4.00,4.00,2.00,4.50
AMERICAN-CANCER-SOCIETY,Head of Budget Department,5.00,5.00,2.50,5.00,3.50
AMERICAN-CANCER-SOCIETY,Health Initiatives,1.00,3.00,4.50,3.75,3.25
AMERICAN-CANCER-SOCIETY,Health Initiatives Representative,4.00,3.75,3.75,3.75,3.75
AMERICAN-CANCER-SOCIETY,Health System Account Rep,3.00,2.00,3.00,3.67,3.67
AMERICAN-CANCER-SOCIETY,Health Systems Manager,5.00,4.00,2.00,3.50,3.00
AMERICAN-CANCER-SOCIETY,Health Systems Manager Hospitals,5.00,3.00,3.00,3.00,2.00
AMERICAN-CANCER-SOCIETY,Healthcare Advocate,3.00,3.67,2.33,4.00,3.33
AMERICAN-CANCER-SOCIETY,Homemaker & Volunteer,5.00,4.00,5.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Human Resource Assistant,5.00,3.00,2.50,3.25,4.00
AMERICAN-CANCER-SOCIETY,IT Analyst,1.00,2.00,4.00,1.00,3.00
AMERICAN-CANCER-SOCIETY,IT Business Analyst,3.00,5.00,3.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,IT Fixed Asset Specialist,4.00,3.00,2.00,3.00,4.50
AMERICAN-CANCER-SOCIETY,IT Goverance Principal,5.00,4.33,3.67,2.00,2.33
AMERICAN-CANCER-SOCIETY,IT Project Coordinator/Telecom Analyst Intern,4.00,2.50,2.00,5.00,3.50
AMERICAN-CANCER-SOCIETY,Income & Community Development,4.00,4.00,4.00,3.00,1.00
AMERICAN-CANCER-SOCIETY,Income & Development Event Recruiter,4.00,2.00,2.50,4.00,4.50
AMERICAN-CANCER-SOCIETY,Income Assistant,4.00,3.50,4.00,2.50,3.50
AMERICAN-CANCER-SOCIETY,Income Development,1.00,5.00,4.00,2.50,5.00
AMERICAN-CANCER-SOCIETY,Income Development ,2.00,4.00,2.00,5.00,5.00
AMERICAN-CANCER-SOCIETY,Income Development Coordinator,4.00,4.00,2.67,4.00,3.33
AMERICAN-CANCER-SOCIETY,Income Development Intern,5.00,5.00,4.00,5.00,3.00
AMERICAN-CANCER-SOCIETY,Income Development Rep/Community Representative,2.00,2.50,4.50,2.50,3.50
AMERICAN-CANCER-SOCIETY,Income Development Representative,3.07,4.20,4.00,3.60,3.07
AMERICAN-CANCER-SOCIETY,Income Manager,2.00,3.83,3.17,3.67,4.00
AMERICAN-CANCER-SOCIETY,Income Specialist,4.00,3.50,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Income development/Administrative Assistant,3.00,5.00,5.00,3.00,1.00
AMERICAN-CANCER-SOCIETY,Intern,4.35,2.95,3.15,3.25,2.80
AMERICAN-CANCER-SOCIETY,Intern & Volunteer,5.00,3.33,4.00,2.67,3.33
AMERICAN-CANCER-SOCIETY,Internship,4.67,4.56,3.33,3.11,3.11
AMERICAN-CANCER-SOCIETY,Knights of Columbus member,5.00,2.00,5.00,5.00,2.50
AMERICAN-CANCER-SOCIETY,LEAD ANALYST DATA MANAGEMENT - Enterprise Level,4.00,4.00,3.00,3.25,2.50
AMERICAN-CANCER-SOCIETY,LEARNING FACILITATOR/DESIGNER,4.00,4.00,5.00,4.00,1.00
AMERICAN-CANCER-SOCIETY,Lead Administrative Assistant,5.00,4.50,3.50,4.00,2.50
AMERICAN-CANCER-SOCIETY,Legal Extern,5.00,3.00,4.00,3.00,2.00
AMERICAN-CANCER-SOCIETY,Liaison between vendors and sponsors,5.00,3.00,2.67,4.33,4.33
AMERICAN-CANCER-SOCIETY,MISSION DELIVERY SPECIALIST-LA,3.00,3.00,5.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,MSABC Event Contributor,4.00,2.00,4.00,3.50,3.00
AMERICAN-CANCER-SOCIETY,MSABC Event Team Recruiter,4.00,3.50,3.00,4.50,3.00
AMERICAN-CANCER-SOCIETY,MSABC Recruiter,4.43,4.29,3.71,3.29,3.43
AMERICAN-CANCER-SOCIETY,Making Strides Against Breast Cancer Recruiter,4.07,3.70,3.64,3.45,3.42
AMERICAN-CANCER-SOCIETY,Making Strides Recruiter,5.00,4.50,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Manager,4.00,3.25,4.25,3.50,2.00
AMERICAN-CANCER-SOCIETY,Manager Communications,4.00,2.50,4.50,3.50,4.50
AMERICAN-CANCER-SOCIETY,Manager Corporate Relations,4.00,3.00,3.00,4.00,3.50
AMERICAN-CANCER-SOCIETY,Manager Health Systems; Hospital,1.00,2.00,2.00,1.00,4.00
AMERICAN-CANCER-SOCIETY,Manager of Special Events Income Development,4.00,2.50,3.50,2.00,3.50
AMERICAN-CANCER-SOCIETY,Managing Director Community Engagement,4.00,4.00,4.00,5.00,1.00
AMERICAN-CANCER-SOCIETY,Manger Special Events,4.00,1.00,3.00,4.00,2.00
AMERICAN-CANCER-SOCIETY,Manpower Temp Service-Recruiter Full,5.00,3.00,2.00,3.50,2.50
AMERICAN-CANCER-SOCIETY,Market Development Director,4.00,2.00,4.50,3.00,3.50
AMERICAN-CANCER-SOCIETY,Marketing,3.00,3.33,3.00,4.00,3.33
AMERICAN-CANCER-SOCIETY,Marketing Director,3.00,5.00,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Marketing Manager,3.00,4.00,3.67,4.00,4.00
AMERICAN-CANCER-SOCIETY,Marketing and Communication Intern,5.00,2.67,4.67,3.00,4.00
AMERICAN-CANCER-SOCIETY,Marketing and Communications Graduate Internship,5.00,3.00,2.00,3.50,4.00
AMERICAN-CANCER-SOCIETY,Media Relations Intern,5.00,2.33,4.67,3.33,2.67
AMERICAN-CANCER-SOCIETY,Medical Assistant Volunteer & Member,5.00,2.00,2.50,3.00,2.00
AMERICAN-CANCER-SOCIETY,Mission Delivery and Community Engagement,3.00,1.00,4.00,4.00,2.00
AMERICAN-CANCER-SOCIETY,Mission Education and Delivery Chair,5.00,2.00,4.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,NM Health Links Manager Region 1,5.00,3.00,3.00,4.50,4.00
AMERICAN-CANCER-SOCIETY,OFFICE MANAGER,5.00,3.00,5.00,3.00,1.00
AMERICAN-CANCER-SOCIETY,Office Assistant,4.14,3.86,2.71,3.57,3.43
AMERICAN-CANCER-SOCIETY,Office Assistant volunteer.,5.00,3.00,3.00,2.67,4.33
AMERICAN-CANCER-SOCIETY,Office Assistant/Assistant Event Coordinator,5.00,5.00,3.00,2.00,4.00
AMERICAN-CANCER-SOCIETY,Office Coordinator (Contractor),3.00,2.00,3.50,3.50,2.50
AMERICAN-CANCER-SOCIETY,Office Manager,5.00,3.25,3.50,2.75,3.75
AMERICAN-CANCER-SOCIETY,Office Manager- Process,4.00,3.00,5.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,Office Mgr Coord of Road to Recovery Program,5.00,3.00,3.50,4.50,4.00
AMERICAN-CANCER-SOCIETY,Organization President/ Event Chair,5.00,4.33,3.00,4.00,4.33
AMERICAN-CANCER-SOCIETY,Patient Advocate,3.00,5.00,4.00,4.00,3.00
AMERICAN-CANCER-SOCIETY,Patient Navigator,5.00,3.00,3.67,3.33,3.67
AMERICAN-CANCER-SOCIETY,Patient Navigator Volunteer,3.00,4.50,2.00,4.00,3.50
AMERICAN-CANCER-SOCIETY,Patient Resource Navigator,4.00,4.00,4.00,2.00,2.00
AMERICAN-CANCER-SOCIETY,Patient Resource Specialist,3.50,3.60,3.30,3.70,3.70
AMERICAN-CANCER-SOCIETY,Patient Service Center,3.00,4.33,2.67,3.67,3.67
AMERICAN-CANCER-SOCIETY,Patient Service Coordinator,5.00,3.00,5.00,4.00,5.00
AMERICAN-CANCER-SOCIETY,Patient Services,4.00,4.50,3.67,3.33,3.83
AMERICAN-CANCER-SOCIETY,Patient Services Center,4.00,5.00,3.00,4.00,5.00
AMERICAN-CANCER-SOCIETY,Patient Services Coordinator,4.00,2.50,3.00,3.50,2.00
AMERICAN-CANCER-SOCIETY,Patient Services Specialist,5.00,4.50,4.00,2.00,3.00
AMERICAN-CANCER-SOCIETY,Patient Support Associate ,4.00,3.00,2.50,4.50,4.00
AMERICAN-CANCER-SOCIETY,Patient and Family Services,5.00,3.50,2.50,5.00,4.50
AMERICAN-CANCER-SOCIETY,Payroll Coordinator/ Human Resource Assistant,4.00,4.33,3.33,2.67,2.67
AMERICAN-CANCER-SOCIETY,Prefer to leave blank,2.00,2.00,4.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Procurement Specialist,3.00,3.50,4.00,4.00,4.00
AMERICAN-CANCER-SOCIETY,Program Coordinator,4.00,2.67,4.00,2.67,4.33
AMERICAN-CANCER-SOCIETY,Program Coordinator	,5.00,4.00,4.25,3.00,4.25
AMERICAN-CANCER-SOCIETY,Program Director,3.00,4.50,4.50,3.00,4.00
AMERICAN-CANCER-SOCIETY,Program Specialist,4.00,5.00,5.00,2.00,3.00
AMERICAN-CANCER-SOCIETY,Program Specialist Preventive Health Partnership,5.00,3.00,5.00,3.00,4.00
AMERICAN-CANCER-SOCIETY,Project Manager,4.67,2.67,4.00,3.00,2.67
AMERICAN-CANCER-SOCIETY,Public Relations Intern,5.00,5.00,3.00,5.00,4.00
AMERICAN-CANCER-SOCIETY,Quit line Call Center Specialist,5.00,3.50,3.50,3.00,3.50
AMERICAN-CANCER-SOCIETY,RECRUITER,4.00,5.00,4.50,4.00,3.50
