,Company,Title,Location,Rating,Work/Life Balance,Benefit,Security,Culture
36,Akamai,International Accounts Receivable Representative,Greater_Boston_Area,5.0,3,5,5,5
37,Akamai,Business Analyst & Data Analyst,Greater_Boston_Area,3.0,4,5,5,4
38,Akamai,Senior Account Development Executive,Greater_Boston_Area,5.0,4,4,3,3
39,Akamai,Sales Operations,Greater_Boston_Area,4.0,5,5,5,5
40,Akamai,Program Manager,Greater_Boston_Area,5.0,2,5,2,4
41,Akamai,Senior Account Development Executive,Greater_Boston_Area,5.0,5,5,5,5
42,Akamai,"Technical Support, Customer Care",Greater_Boston_Area,5.0,5,5,none,5
43,Akamai,Senior Technical Program Manager,Greater_Boston_Area,5.0,3,4,3,4
44,Akamai,"Technical Support, Customer Care",Greater_Boston_Area,5.0,4,5,3,5
45,Akamai,User Experience Design Contractor,Greater_Boston_Area,3.0,4,5,3,5
46,Akamai,Associate Solutions Architect Intern,Greater_Boston_Area,5.0,5,5,5,5
47,Akamai,Solutions Architect Co-op,Greater_Boston_Area,5.0,5,5,5,5
48,Akamai,Senior Director Americas Technical Support,Greater_Boston_Area,5.0,5,5,5,5
49,Akamai,Payroll Analyst-International/US,Greater_Boston_Area,2.0,4,5,5,4
50,Akamai,"Vice-president, Corporate Marketing",Greater_Boston_Area,4.0,5,5,none,5
51,Akamai,Sr. Logistics Team Lead and Project Manager,Greater_Boston_Area,3.0,5,5,5,5
52,Akamai,User Experience Designer,Greater_Boston_Area,2.0,5,5,5,4
53,Akamai,mail clerk,Greater_Boston_Area,5.0,4,5,5,5
54,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,5,none,4,none
55,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,5,5,5,5
56,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,4,5,3,4
57,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,4,4,none,5
58,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,1,5,none,1
59,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,3,5,none,5
60,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,4,none,none,4
61,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,none,5,5
62,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,5,none,5,none
63,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,none,3,none
64,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,none,none,5
65,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,4,none,none,none
66,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,3,5,none,none
67,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,4,none,5,none
68,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,5,none,none,5
69,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,none,5,none
70,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,3,4,none
71,Allscripts,Senior Business Analyst,Greater_Boston_Area,4.0,none,5,none,none
72,Altman-Vilandrie---Company,Consultant (Summer Associate),Greater_Boston_Area,4.0,5,none,none,none
73,Altman-Vilandrie---Company,Analyst,Greater_Boston_Area,5.0,none,none,5,none
74,Altman-Vilandrie---Company,Consultant (Summer Associate),Greater_Boston_Area,4.0,none,5,5,none
75,Altman-Vilandrie---Company,Analyst,Greater_Boston_Area,5.0,5,5,none,none
76,Amadeus,Airline IT Support Analyst,Waltham,5.0,none,5,5,none
77,Amadeus,Receptionist,Waltham,3.0,none,5,none,4
78,Amadeus,Airline IT Support Analyst,Waltham,5.0,none,5,5,none
79,Amadeus,Receptionist,Waltham,3.0,none,5,5,none
80,Ameresco,Regional Director,Framingham,3.0,none,none,5,none
81,Ameresco,Accounting Assistant,Framingham,3.0,none,5,5,none
82,Ameresco,Regional Director,Framingham,3.0,none,none,5,none
83,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0,none,none,5,none
84,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0,4,5,5,5
85,AMERICAN-CANCER-SOCIETY,"Office Assistant, volunteer.",Framingham,5.0,4,5,5,4
86,AMERICAN-CANCER-SOCIETY,Technical Manager Desktop COE,Framingham,5.0,4,5,5,4
87,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0,5,5,5,5
88,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0,4,5,5,5
89,AMERICAN-CANCER-SOCIETY,Technical Manager Desktop COE,Framingham,5.0,3,5,none,5
90,AMERICAN-CANCER-SOCIETY,Administrative Specialist,Framingham,3.0,4,5,none,4
91,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0,5,none,none,none
92,AMERICAN-CANCER-SOCIETY,Administrative Specialist,Framingham,3.0,5,5,5,none
93,AMERICAN-CANCER-SOCIETY,Event Coordinator & Donor Relations,Framingham,4.0,none,none,4,none
94,American-Student-Assistance,Business Analyst Assistant,Greater_Boston_Area,5.0,5,5,5,5
95,American-Student-Assistance,Counselor,Greater_Boston_Area,2.0,4,3,5,5
96,American-Student-Assistance,Call Center Associate,Greater_Boston_Area,4.0,5,4,none,none
97,American-Student-Assistance,Claim and Loan Processor,Greater_Boston_Area,5.0,5,5,5,5
98,American-Student-Assistance,Senior loan information specialist,Greater_Boston_Area,4.0,5,5,5,5
99,American-Student-Assistance,Senior Counselor,Greater_Boston_Area,4.0,none,5,none,5
100,American-Student-Assistance,Senior Human Resources Business Partner,Greater_Boston_Area,4.0,4,5,5,5
101,American-Student-Assistance,SOFTWARE ENGINEER,Greater_Boston_Area,5.0,5,5,5,5
102,American-Student-Assistance,Manager of Treasury Operations,Greater_Boston_Area,5.0,5,5,5,5
103,American-Student-Assistance,Technical Support Lead Engineer,Greater_Boston_Area,3.0,none,5,5,none
104,American-Student-Assistance,Senior Product Manager,Greater_Boston_Area,3.0,5,5,4,5
105,American-Student-Assistance,Corporate Sponsorship Manager,Greater_Boston_Area,4.0,5,5,5,5
106,American-Student-Assistance,Technical Manager - Performance\QA,Greater_Boston_Area,4.0,4,5,5,5
107,American-Student-Assistance,Web Developer (Co-op),Greater_Boston_Area,4.0,3,5,none,none
108,American-Student-Assistance,Senior Desktop Support Engineer,Greater_Boston_Area,2.0,3,5,4,4
109,American-Student-Assistance,Web Development/Design Intern,Greater_Boston_Area,5.0,none,5,none,5
110,American-Student-Assistance,Wellness Counselor/Payment Advisor,Greater_Boston_Area,5.0,4,5,5,5
111,American-Student-Assistance,Technical Support Lead Engineer,Greater_Boston_Area,4.0,none,4,5,none
112,American-Student-Assistance,Test,Greater_Boston_Area,5.0,3,5,4,4
113,American-Student-Assistance,Business Analyst Assistant,Greater_Boston_Area,5.0,4,5,5,5
114,American-Student-Assistance,Counselor,Greater_Boston_Area,2.0,4,4,5,5
115,American-Student-Assistance,Senior Counselor,Greater_Boston_Area,4.0,none,none,5,5
116,American-Student-Assistance,Senior Human Resources Business Partner,Greater_Boston_Area,4.0,5,5,5,5
117,American-Student-Assistance,Senior Product Manager,Greater_Boston_Area,3.0,3,5,5,4
118,American-Student-Assistance,Technical Support Lead Engineer,Greater_Boston_Area,3.0,4,5,5,5
119,American-Student-Assistance,Call Center Associate,Greater_Boston_Area,4.0,none,5,none,none
120,American-Student-Assistance,Claim and Loan Processor,Greater_Boston_Area,5.0,none,4,none,none
121,American-Student-Assistance,SOFTWARE ENGINEER,Greater_Boston_Area,5.0,none,3,none,4
122,American-Student-Assistance,Senior loan information specialist,Greater_Boston_Area,4.0,4,5,4,4
123,American-Student-Assistance,Web Development/Design Intern,Greater_Boston_Area,5.0,5,5,5,5
124,American-Student-Assistance,Manager of Treasury Operations,Greater_Boston_Area,5.0,5,5,5,5
125,American-Student-Assistance,Test,Greater_Boston_Area,5.0,4,5,5,5
126,American-Student-Assistance,Corporate Sponsorship Manager,Greater_Boston_Area,4.0,5,4,5,5
127,American-Student-Assistance,Senior Desktop Support Engineer,Greater_Boston_Area,2.0,4,5,5,5
128,American-Student-Assistance,Technical Manager - Performance\QA,Greater_Boston_Area,4.0,4,5,5,5
129,American-Student-Assistance,Web Developer (Co-op),Greater_Boston_Area,4.0,5,4,4,5
130,American-Student-Assistance,Wellness Counselor/Payment Advisor,Greater_Boston_Area,5.0,5,5,5,5
131,American-Student-Assistance,Technical Support Lead Engineer,Greater_Boston_Area,4.0,5,5,5,5
132,American-Tower,Tax Intern,Greater_Boston_Area,4.0,3,5,4,4
133,American-Tower,Tax Intern,Greater_Boston_Area,4.0,4,4,5,5
134,American-Tower,Tax Intern,Greater_Boston_Area,4.0,none,5,none,5
135,American-Tower,Oracle System Engineer,Greater_Boston_Area,3.0,5,5,5,5
136,American-Tower,Tax Intern,Greater_Boston_Area,4.0,none,none,none,5
137,American-Tower,Tax Intern,Greater_Boston_Area,5.0,3,5,4,4
138,American-Tower,Regional Human Resources Manager,Greater_Boston_Area,5.0,4,4,5,none
139,American-Tower,Tax Intern,Greater_Boston_Area,4.0,5,5,5,5
140,American-Tower,Regional Human Resources Manager,Greater_Boston_Area,5.0,5,5,5,5
141,American-Tower,Oracle System Engineer,Greater_Boston_Area,3.0,4,5,5,4
142,American-Tower,Tax Intern,Greater_Boston_Area,4.0,5,5,5,5
143,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,2,4,3,3
144,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
145,Ameriprise-Financial,"Vice President, Mutual Fund Operations",Greater_Boston_Area,4.0,5,5,5,5
146,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
147,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
148,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,none,5,4
149,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,5
150,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,4,5
151,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,5,5,none
152,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
153,Ameriprise-Financial,Planning Assistant,Plymouth,4.0,none,none,5,none
154,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
155,Ameriprise-Financial,Service Delivery Manager,Greater_Boston_Area,1.0,5,5,5,5
156,Ameriprise-Financial,"Vice President, Mutual Fund Operations",Greater_Boston_Area,4.0,5,5,5,5
157,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,4,4
158,Ameriprise-Financial,Planning Assistant,Plymouth,4.0,5,5,5,5
159,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
160,Ameriprise-Financial,"Senior Business Analyst, Consultant",Greater_Boston_Area,2.0,5,4,none,none
161,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,4,none,none
162,Ameriprise-Financial,"Senior Business Analyst, Consultant",Greater_Boston_Area,2.0,5,5,5,5
163,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,4,5
164,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,5
165,Ameriprise-Financial,"Senior Business Analyst, Consultant",Greater_Boston_Area,2.0,none,4,none,none
166,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,none,none,5
167,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
168,Ameriprise-Financial,Columbia management,Greater_Boston_Area,5.0,5,3,5,4
169,Ameriprise-Financial,Planning Assistant,Plymouth,4.0,none,none,4,none
170,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
171,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
172,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
173,Ameriprise-Financial,Columbia management,Greater_Boston_Area,5.0,4,5,5,5
174,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,3,none,5,none
175,Ameriprise-Financial,Columbia management,Greater_Boston_Area,5.0,none,none,5,none
176,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,none,4,4
177,Ameriprise-Financial,Lead Business Analyst,Greater_Boston_Area,3.0,4,5,4,5
178,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
179,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,5
180,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
181,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,4,5
182,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
183,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,2,5,3
184,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
185,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,none,none,5
186,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,3,none,4
187,Ameriprise-Financial,Lead Business Analyst,Greater_Boston_Area,3.0,5,5,5,5
188,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,none,5,5
189,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,none,none,5
190,Ameriprise-Financial,Sr. Desktop Analyst,Greater_Boston_Area,5.0,none,4,none,none
191,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
192,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,5,5,5,5
193,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,none,none,4,none
194,Ameriprise-Financial,Financial Advisor/Para-Planner,Plymouth,4.0,none,none,4,none
195,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,5
196,Ameriprise-Financial,Financial Advisor/Para-Planner,Plymouth,4.0,4,none,5,none
197,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,4
198,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,3,none,none
199,Ameriprise-Financial,Financial Advisor/Para-Planner,Plymouth,4.0,5,5,5,5
200,Ameriprise-Financial,Human Resources,Greater_Boston_Area,4.0,4,5,5,5
201,AOL,Account Executive,Greater_Boston_Area,5.0,none,none,none,5
202,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,none,none
203,AOL,Account Executive,Greater_Boston_Area,5.0,5,none,none,5
204,AOL,Account Executive,Greater_Boston_Area,5.0,none,5,none,none
205,AOL,Account Executive,Greater_Boston_Area,5.0,none,none,none,4
206,AOL,Account Executive,Greater_Boston_Area,5.0,4,5,4,4
207,AOL,Account Executive,Greater_Boston_Area,5.0,none,5,none,none
208,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,5,5
209,AOL,Account Executive,Greater_Boston_Area,5.0,none,none,5,4
210,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,5,5
211,AOL,Account Executive,Greater_Boston_Area,5.0,4,5,5,5
212,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,5,5
213,AOL,Account Executive,Greater_Boston_Area,5.0,none,none,5,5
214,AOL,Account Executive,Greater_Boston_Area,5.0,4,4,4,4
215,AOL,Account Executive,Greater_Boston_Area,5.0,4,5,4,5
216,AOL,Account Executive,Greater_Boston_Area,5.0,3,5,4,5
217,AOL,Account Executive,Greater_Boston_Area,5.0,4,5,4,5
218,AOL,Account Executive,Greater_Boston_Area,5.0,3,4,4,4
219,AOL,Senior Advertising Manager,Greater_Boston_Area,3.0,none,5,none,none
220,AOL,Account Executive,Greater_Boston_Area,5.0,4,none,none,none
221,AOL,Senior Advertising Manager,Greater_Boston_Area,3.0,2,4,5,4
222,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,5,5
223,AOL,Account Executive,Greater_Boston_Area,5.0,5,5,none,5
224,AOL,Account Executive,Greater_Boston_Area,5.0,4,5,4,5
225,Arbor,Substitute Teacher,Greater_Boston_Area,3.0,5,5,5,5
226,Arbor,Substitute Teacher,Greater_Boston_Area,3.0,none,none,5,none
227,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,4,5,none,none
228,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
229,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
230,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,5,4,5,5
231,Arthur J Gallagher & Co,Retirement Plan Coordinator,Greater_Boston_Area,3.0,5,5,5,5
232,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,none,none,4,none
233,Arthur J Gallagher & Co,Retirement Plan Coordinator,Greater_Boston_Area,3.0,none,none,5,5
234,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,4,none,5,none
235,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,4,5,5,5
236,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
237,Arthur J Gallagher & Co,Account Executive,Greater_Boston_Area,4.0,5,4,5,5
238,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,none,5,none,5
239,Arthur J Gallagher & Co,Account Executive,Greater_Boston_Area,4.0,3,5,4,5
240,Arthur J Gallagher & Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
241,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,none,none,5,none
242,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,4,5,5
243,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
244,Arthur-J-Gallagher---Co,Financial Analyst,Greater_Boston_Area,2.0,4,5,5,5
245,Arthur-J-Gallagher---Co,Retirement Plan Coordinator,Greater_Boston_Area,3.0,5,5,5,5
246,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
247,Arthur-J-Gallagher---Co,Retirement Plan Coordinator,Greater_Boston_Area,3.0,3,2,5,4
248,Arthur-J-Gallagher---Co,Financial Analyst,Greater_Boston_Area,2.0,5,5,5,5
249,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
250,Arthur-J-Gallagher---Co,Account Executive,Greater_Boston_Area,4.0,5,5,5,5
251,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,3,5,4,5
252,Arthur-J-Gallagher---Co,Retirement Plan Coordinator,Greater_Boston_Area,3.0,4,4,4,5
253,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,4,5,5,5
254,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,4,5,5,5
255,Arthur-J-Gallagher---Co,Account Executive,Greater_Boston_Area,4.0,2,1,3,3
256,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
257,Arthur-J-Gallagher---Co,Account Executive,Greater_Boston_Area,4.0,3,4,5,5
258,Arthur-J-Gallagher---Co,Benefits Analyst,Greater_Boston_Area,4.0,5,5,5,5
259,AvalonBay-Communities,"Community Concierge, Lead Concierge",Greater_Boston_Area,5.0,5,5,5,5
260,AvalonBay-Communities,RFI and ASI Coordinator,Greater_Boston_Area,4.0,5,5,5,5
261,AvalonBay-Communities,Resident Services,Greater_Boston_Area,5.0,4,4,none,5
262,AvalonBay-Communities,Maintenance Tech 2,Lexington,4.0,5,5,5,5
263,AvalonBay-Communities,Maintenance Tech 2,Lexington,4.0,3,3,5,3
264,AvalonBay-Communities,Rental Agent,Greater_Boston_Area,4.0,5,5,none,5
265,AvalonBay-Communities,Maintenance Tech 2,Lexington,4.0,5,3,none,5
266,AvalonBay-Communities,Rental Agent,Greater_Boston_Area,4.0,5,5,5,5
267,AvalonBay-Communities,Service Technician,Lexington,2.0,4,5,5,5
268,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,none,none
269,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,3,5,4
270,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
271,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,4,5
272,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,3,5,3,4
273,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,4,5,5
274,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
275,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,5,5,5
276,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,5,none,5
277,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,5,5,5
278,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,5,5
279,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
280,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
281,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,none,5
282,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,5,5
283,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
284,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,3,4,4
285,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,4
286,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,3,3,3,4
287,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
288,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,none,5,none
289,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,none,5,none
290,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,2,2,3,2
291,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,5,5
292,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,2,3,4,2
293,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
294,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,5,5
295,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,2,2,5,3
296,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,4,4,none
297,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,none,5
298,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,3,5,none,5
299,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,4,none,4
300,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,4,none,5
301,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,none,4
302,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,none,4
303,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,none,none,none
304,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,5,5,5
305,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
306,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,5,5
307,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,5,none
308,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,none,5,none
309,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,5,none
310,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,none,5,5
311,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,5,none
312,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,none,5
313,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,none,4,none
314,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,5,none
315,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,4,none,4
316,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,none,5
317,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,4,none,none,none
318,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,5,none,5
319,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,5,5,none,none
320,BAE-Systems,Senior Technical Documentation Specialist,Lexington,3.0,none,none,5,none
